building,fmCode,contactName,phone,area,numberLayer,floor,roomNumber,detailAdress,province,city,postalCode,zone,latitude,longtude,priceSquare,workingTime,blance,developer,grade,created_at,updated_at
เอื้ออาทร สายไหม 1 (ตึก 1-26),SYM-5,K.แอน,02 1594474,4.2,26,5,1140,350/41 อาคาร 26  ถนนสายไหม แขวงสายไหม กรุงเทพฯ,-,-,-,คลองเตย,13.926572,100.655091,-,-,-,-,-,,
Abstracts Condo,JJ-119,K.นัฐรดา, 062 6059269,4.1,1,34,1012,1076 ถนนพหลโยธิน เขตจตุจักร กรุงเทพฯ,-,-,-,สายไหม,13.817951,100.565035,-,-,-,-,-,,
เลอซาโต,HK-80,ผจ. สมศรี,092 4560454,2.2,1,8,91,55 อาคารเลอซาโต ซอยศูนย์วิจัย 14 ถนนเพชรบุรีตัดใหม่ แขวงบางกะปิ ห้วยขวาง กรุงเทพฯ,-,-,-,จตุจักร,13.748082,100.593825,-,-,-,-,-,,
Tree Condo สุขุมวิท 52,PKN-11,K.กาญ,085 6982769,2.2,1,8,72,ซอยสุขุมวิท 52 แขวงบางจาก เขตพระโขนง กรุงเทพ 10260,-,-,-,บางกะปิ,13.702903,100.600463,-,-,-,-,-,,
"เคหะชุุมชนธนบุรี นิติ 6 (ตึก7, 8, 9)",BKT-5,ผจ. วัฒนา,02 8941168,3.2,3,8,643,164/27-28  ถนนพระรามที่ 2 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพฯ 10150  ,-,-,-,พระโขนง,13.652544,100.414339,-,-,-,-,-,,
เดอะวีว่า คอนโด สาทร-ตากสิน,KS-9,090-912-3462 (ผจก.วรทัต),"0955404631 คุณปุ้ย , 024379880",3.2,1,8,120,89  ซ.กรุงธนบุรี 1 ถ.กรุงธนบุรี คลองตันไทร เขตคลองสาน กรุงเทพฯ 10600,-,-,-,บางขุนเทียน,13.723004,100.494712,-,-,-,-,-,,
เคหะชุุมชนธนบุรี นิติ 9 (ตึก1-4),BKT-6,ผจ.ดำรง : 087 9125653,นิติฯ :02 4513399,3.2,4,5,728,166/24-25  ถนนพระรามที่ 2 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพฯ 10150  ,-,-,-,คลองสาน,13.65884,100.414339,-,-,-,-,-,,
ตลาดพลูคอนโด,TB-4,นิติฯ,082 4927316,3.2,1,8,212,100 ซอยเทอดไท 21 แขวงบางยี่เรือ เขตธนบุรี กรุงเทพฯ 10600,-,-,-,บางขุนเทียน,13.719654,100.480727,-,-,-,-,-,,
วินเซอร์ ทาวเวอร์,KT-67,K.อุดมกาญจน์ พันธุมจินดา,02 2610420 ,1.2,1,32,50,"9/1 ซอย สุขุมวิท 20 ถ.สุขุมวิท, คลองเตย, กรุงเทพ 10110",-,-,-,ธนบุรี,13.732766,100.564055,-,-,-,-,-,,
ริเวอร์ ไรน์ เพลส 1,NON-34,คุณเปรี้ยว,092-902-1152,4.1,1,26,138,171/1 ถนนพิบูลสงคราม ตำบลสวนใหญ่ อำเภอเมืองนนทบุรี จ.นนทบุรี,-,-,-,คลองเตย,13.8289022,100.5005716,-,-,-,-,-,,
คาซ่า คอนโด รัชดา-ท่าพระ อาคารเอ บี,TB-1,คุณชรินทร์,"063 2182275 , 02-490-3241",3.2,2,8,274,757 ซอยวัดบางสะแก ถนนราชพฤกษ์ แขวงดาวคะนอง เขตธนบุรี กรุงเทพมหานคร   ,-,-,-,เมืองนนทบุรี,13.7134492,100.4768402,-,-,-,-,-,,
ไอคอนโด สุขุมวิท 103,BN-53, คุณทิพวรรณ,086 8912650,2.1,4,8,834,4 สุขุมวิท 103 แขวงบางนา เขตบางนา กรุงเทพฯ,-,-,-,ธนบุรี,13.678314,100.6377786,-,-,-,-,-,,
คิวเฮ้าส์ คอนโด สาทร,KS-1,"คุณจำรงค์ ,คุณเปรม",086-366-8245,3.2,1,36,448,18 ถนนกรุงธนบุรี แขวงคลองต้นไทร เขตคลองสาน  กรุงเทพมหานคร 10600  ,-,-,-,บางนา,13.72122446,100.5013146,-,-,-,-,-,,
เดอะโคลเวอร์ทองหล่อ,WTN-198,K. ไก่ : 087 3566262,"02 3463515 - 20 , ",2.1,5,9,572,558 ซอยทองหล่อ 18 แขวงคลองตันเหนือ เขตวัฒนา กรุงเพฯ 10110,-,-,-,คลองสาน,13.735048,100.5842487,-,-,-,-,-,,
ดิไอริส อาคารเอฟ,SL-4,คุณจีรฐา,"081 7230767 , 021873722",2.1,1,8,120,511 ชั้น B ถนนศรีนครินทร์ แขวงสวนหลวง เขตสวนหลวง กรุงเทพฯ 10250,-,-,-,วัฒนา,13.7208537,100.617359,-,-,-,-,-,,
เซ็นจูรี่ ไฮร์ (Century Heights),WTN-166,คุณสุทัศน์,081-823-3059,1.2,1,30,78,51/1 ซอยสุขุวิท 23 ถนนสุขุมวิท แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพฯ 10110,-,-,-,สวนหลวง,13.7419793,100.5635286,-,-,-,-,-,,
I-Zen Prime ,LPU-30,K.เล็ก,21502054,4.1,1,5,48,69 สังคมสงเคราะห์ 12/1 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพฯ 10230,-,-,-,วัฒนา,13.7993926,100.6060058,-,-,-,-,-,,
ลุมพินี วิลล์ รามคำแหง 60/2 เอ บี,BKP-35,คุณบิ๋ม : 095 9561029,02-184-4933,2.1,2,25/15,938,5 ถนนรามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ,-,-,-,ลาดพร้าว,13.7626438,100.6494738,-,-,-,-,-,,
ลุมพินี วิลล์ รามคำแหง 60/2 ซี,BKP-35,คุณบิ๋ม : 095 9561029,,2.1,1,15,284,7 ถนนรามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ,-,-,-,บางกะปิ,13.7626438,100.6494738,-,-,-,-,-,,
ศุภาลัย คาซาริวา,BKL-8,081-8431110,"02-6890085,0812390810",1.1,4,55,596,780/350 ถ.เจริญกรุง แขวงบางคอแหลม เขตบางคอแหลม กรุงเทพ 10120,-,-,-,บางกะปิ,13.6950454,100.4946793,-,-,-,-,-,,
ริเวอร์ ไรน์ เพลส 4,NON-35,คุณปู,0-2966-7130-1,4.1,1,27,138,169 ถนนพิบูลสงคราม ตำบลสวนใหญ่ อำเภอเมืองนนทบุรี จ.นนทบุรี,-,-,-,บางคอแหลม,13.8494334,100.4949125,-,-,-,-,-,,
พัฒนฉัตรสวีท,JJ-35,คุณวิทย์,"089-492-2923, 02-6176623",1.2,1,8,135,27 ซ.ร่วมศิริมิตร  แขวงจอมพล เขตจตุจักร กรุงเทพ,-,-,-,เมืองนนทบุรี,13.796001,100.5585956,-,-,-,-,-,,
@BTS Residence,JJ-24,คุณวิทย์,"089-492-2923, 090-9745294",1.2,1,25,317,29 ซ.ร่วมศิริมิตร  แขวงจอมพล เขตจตุจักร กรุงเทพ,-,-,-,จตุจักร,13.796001,100.5585956,-,-,-,-,-,,
สราญใจแมนชั่น,KT-71,คุณจิดาภัส,081-907-7295,1.2,2,23,625,17/1 ซอยใจสมาน สุขุมวิท 6 แขวงคลอเตย เขตคลองเตย กรุงเทพฯ 10110,-,-,-,จตุจักร,13.7384411,100.5518699,-,-,-,-,-,,
ไดมอนด์ สุขุมวิท,WTN-282,คุณสุกฤษฎิ์,02-187-4021-5,2.1,1,31,492,1558 ถนนสุขุมวิท แขวงพระโขนง เขตคลองเตย กรุงเทพฯ 1060,-,-,-,คลองเตย,13.708232,100.598866,-,-,-,-,-,,
S.W. HOUSE (บริษัท เอส.ดับเบิลยู.เฮ้าส์ จำกัด),LPU-41,K.เกรท/ 082-3818888,คุณวัชรี/ 086-9788868,4.1,3,8,212,377 ซอยลาดพร้าว 48 แยก 3 ถนนลาดพร้าว แขวงสามเสนนอก กรุงเทพฯ 10310,-,-,-,คลองเตย,13.7936548,100.5884693,-,-,-,-,-,,
โนเบิล โซโล,WTN-271,,ผจ.ลูกหยี :  081-3512804,2.2,1,24,414,988 ซ.สุขุมวิท 55 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพฯ 10110,-,-,-,สามเสนนอก,13.7403851,100.5848063,-,-,-,-,-,,
วิช แอท สยาม,RTV-23,K.กิฟ,"061 8514149,084-6639401",1.2,2,8,284,688/8-9 ซ.พญานาค ถ.พญาไท แขวงถนนเพชรบุรี เขตราชเทวี กรุงเทพฯ,-,-,-,วัฒนา,13.7512416,100.5270694,-,-,-,-,-,,
บ้านเอื้ออาทร หทัยราษฎร์ 2   ,MBR-7,,086-333-0060,4.2,,5,675,622/1 นิติบุคคลเอื้ออาทรหทัยราษฏร์ บางชัน คลองสามวา กรุงเทพฯ,-,-,-,ราชเทวี,13.8556307,100.7200159,-,-,-,-,-,,
เดอะเทมโปแกรนด์ สาทร-วุฒากาศ,JT-9,062-590-8011,063-2673640,3.1,2,32,1004,"15/2, ซอย กัลปพฤกษ์ แขวง บางค้อ เขต จอมทอง กรุงเทพมหานคร 10150",-,-,-,คลองสามวา,13.7133349,100.4683975,-,-,-,-,-,,
Villa Bajaj (บริษัท วิลล่า บาจาจ จำกัด),WTN-128,02-253-0579,,2.1,1,12,30, 40 ซอย สุขุมวิท 19 คลองเตยเหนือ วัฒนา กทม. 10110,-,-,-,จอมทอง,13.7403324,100.5595973,-,-,-,-,-,,
คลองถม เซ็นเตอร์,,นิติฯ : 094 8219898,คุณบอส :089 6681556,1.1,1,2,190,205/1 ถนนยมราชสุขุม แขวงป้อมปราบ เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร,-,-,-,วัฒนา,13.74647,100.506696,-,-,-,-,-,,
แคปปิตอลพลาซ่า,,K.แซม : 085 1753377,คุณบอส :089 6681556,1.1,1,2,150,311 ถนนเจริญกรุง  แขวงป้อมปราบ เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร,-,-,-,ป้อมปราบศัตรูพ่าย,13.744696,100.506945,-,-,-,-,-,,
BR Condo,BKP-17,คุณประการ ,081 3572138,2.1,1,10,705,4 ซอยลาดพร้าว 142 แขวงคลองจั่น บางกะปิ กรุงเทพ  10240,-,-,-,ป้อมปราบศัตรูพ่าย,13.768118,100.640693,-,-,-,-,-,,
บ้านชมดาว,SL-8,K.อัญชลี,092 4612323,2.1,2,8,301,99/1 สุขุมวิท 77 ซอยสุนทรศารทูล  แขวงสวนหลวง  เขตสวนหลวง กรุงเทพมหานคร,-,-,-,บางกะปิ,13.7116365,100.6152271,-,-,-,-,-,,
D.S TOWER1,WTN-49,คุณนก,02-2603980-6,1.2,2,38,150,98 ซอยแดงอุดม  ถนนสุขุมวิท 33 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพฯ 10110,-,-,-,สวนหลวง,13.737338,100.569035,-,-,-,-,-,,
แอสปาย ศรีนครินทร์,PV-29,คุณปริญญา,095 248 7478,2.1,2,7,330,ซอยศรีนครินทร์ 49 (ซอยแก่นทอง) ถนนศรีนครินทร์ แขวงหนองบอน ประเวศ กรุงเทพฯ 10250,-,-,-,วัฒนา,13.697552,100.6509,-,-,-,-,-,,
เดอะแบง ค๊อค ทรัพย์  ,BR-34,คุณปัจทวี : 086 3357104,02-352-2002,1.1,3,8,155,33 ถนนทรัพย์ แขวงสี่พระยา เขตบางรัก กรุงเทพฯ 10500,-,-,-,ประเวศ,13.7311723,100.52731,-,-,-,-,-,,
เดอะเพรสซิเด้นท์ สาทร-ราชพฤกษ์ ,PSJ-12,คุณวันชัย,081 711 9006,3.1,1,30,793,299 ถนนราชพฤกษ์ตัดถนนเพชรเกษม แขวงปากคลองภาษีเจริญ เขตภาษีเจริญ กรุงเทพฯ 10160,-,-,-,บางรัก,13.72032,100.45859,-,-,-,-,-,,
เดอะซีซั่น ศรีนครินทร์,BN-67,คุณนันทวัฒน์,,2.2,3,8,504,102 หมู่ 6 ต.บางเมืองใหม่ อ.เมือง จ.สมุทรปราการ 10270      ,-,-,-,ภาษีเจริญ,13.621091,100.622532,-,-,-,-,-,,
บ้านจ้อยช้างเนียม,LKB-5,คุุณบาส,092 564 4471,2.1,1,5,63,493/2 ซ.ฉลองกรุง 1   ถ.ฉลองกรุง  แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพฯ 10520   ,-,-,-,เมืองสมุทรปราการ,13.727865,100.7677369,-,-,-,-,-,,
แอทธินี เรสซิเด้นซ์ คอนโดมิเนียม,PTW-67,,02 1685011 ต่อ 101,1.1,1,41,219,65 ถนนวิทยุ แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,-,-,-,ลาดกระบัง,13.741101,100.549323,-,-,-,-,-,,
ศรีสุวรรณ ทาวเวอร์,BKE-16,K.สมชาย : 087 0339901,นิติ ฯ : 02 8013616,3.1,1,8,199,103/21 ถนนเพชรเกษม ซ.63 แขวงหลักสอง เขตบางแค กรุงเทพฯ 10160,-,-,-,ปทุมวัน,13.704312,100.391722,-,-,-,-,-,,
นารา 9 คอนโดมิเนียม,ST-9,นิติฯ : 02-286-1025-6   ผจก.คุณอรยา,097 0259596,1.1,1,40,361,603 ถนนนราธิวาสราชนครินทร์ แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพ  10120,-,-,-,บางแค,13.714562,100.557894,-,-,-,-,-,,
แชปเตอร์วัน ลาดพร้าว 1,BK-43,คุณเอกพจน์,"089-5856814, 02-0416758",4.1,1,8,180,98 ซ.ลาดพร้าว 1 ถ.ลาดพร้าว แขวงจอมพล เขตจตุจักร กรุงเทพฯ 10900,-,-,-,สาทร,13.814033,100.564917,-,-,-,-,-,,
